prix_fcfa,superficie_m2,nombre_pieces,nombre_salles_bain,jardin,piscine,parking,terrasse,cuisineEquipee,securisee,balcon,cite,meuble,basse,duplex,triplex
120000000.0,500.0,7.0,7.0,0,0,0,0,0,0,0,1,0,0,1,0
900000000.0,673.0,5.0,6.0,1,1,1,0,1,0,0,0,1,1,0,0
700000000.0,559.0,6.0,5.0,1,1,0,1,1,0,0,1,1,0,1,0
100000000.0,300.0,4.0,4.0,0,0,1,0,0,0,0,1,0,1,0,0
210000000.0,500.0,7.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0
150000000.0,280.0,4.0,4.0,1,0,0,0,1,0,0,0,1,0,1,0
80000000.0,200.0,6.0,4.0,0,0,1,0,1,1,0,1,1,0,1,0
650000000.0,500.0,6.0,6.0,1,0,1,0,1,1,0,0,1,0,0,1
60000000.0,101.0,3.0,1.0,0,0,0,1,1,0,0,1,1,1,0,0
320000000.0,203.0,6.0,5.0,0,1,1,1,1,0,0,0,1,0,0,1
200000000.0,430.0,4.0,5.0,1,0,1,1,1,0,0,0,1,0,1,0
130000000.0,340.0,6.0,5.0,0,0,1,1,1,0,0,0,1,0,1,0
580000000.0,640.0,6.0,4.0,1,1,1,0,1,1,0,0,1,0,1,0
110000000.0,200.0,5.0,5.0,0,0,0,1,0,0,1,0,0,0,1,0
75000000.0,250.0,4.0,4.0,0,0,0,1,0,0,0,0,0,1,0,0
160000000.0,300.0,6.0,4.0,1,0,0,0,1,1,1,1,1,0,1,0
90000000.0,278.0,4.0,3.0,0,0,1,1,1,0,0,1,1,0,1,0
90000000.0,300.0,5.0,4.0,0,0,1,1,0,0,0,0,0,1,0,0
2500000000.0,1600.0,12.0,14.0,1,0,1,0,0,0,0,0,0,0,1,0
750000000.0,1000.0,14.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0
250000000.0,400.0,4.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0
900000000.0,950.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0
200000000.0,400.0,4.0,4.0,0,1,1,1,0,1,0,1,0,0,1,0
550000000.0,650.0,8.0,6.0,0,1,1,0,1,0,0,0,1,0,1,0
160000000.0,400.0,8.0,7.0,1,1,1,0,1,0,0,0,1,0,1,0
200000000.0,462.0,6.0,4.0,1,0,1,1,0,0,0,0,0,0,1,0
